###Block;Trial;Gleich;Stim1_1;Stim1_2;Stim1_3;Stim2_1;Stim2_2;Stim2_3
VS_2;999;1;2;3;8;2;3;8
VS_2;999;0;7;8;5;7;6;5
VS_2;1;0;4;4;9;4;4;2
VS_2;2;0;5;1;2;5;1;7
VS_2;3;1;6;2;5;6;2;5
VS_2;4;1;1;5;0;1;5;0
VS_2;5;1;9;9;1;9;9;1
VS_2;6;1;8;0;8;8;0;8
VS_2;7;1;2;5;4;2;5;4
VS_2;8;0;3;8;3;3;8;9
VS_2;9;1;1;6;6;1;6;6
VS_2;10;1;9;3;9;9;3;9
VS_2;11;0;8;7;2;8;1;2
VS_2;12;0;3;0;7;3;0;5
VS_2;13;1;5;1;0;5;1;0
VS_2;14;1;6;2;6;6;2;6
VS_2;15;0;4;9;9;4;9;3
VS_2;16;1;2;4;3;2;4;3
VS_2;17;0;7;1;7;4;1;7
VS_2;18;0;1;8;8;3;8;8
VS_2;19;0;5;6;5;5;9;5
VS_2;20;1;9;9;1;9;9;1
VS_2;21;0;2;4;4;2;6;4
VS_2;22;0;6;7;2;6;7;4
VS_2;23;0;8;3;3;8;2;3
VS_2;24;1;4;2;7;4;2;7
VS_2;25;0;7;5;4;6;5;4
VS_2;26;0;3;0;9;3;0;1
VS_2;27;0;3;0;2;3;3;2
VS_2;28;0;1;5;5;3;5;5
VS_2;29;1;6;9;8;6;9;8
VS_2;30;1;4;4;1;4;4;1
VS_2;31;0;2;8;6;2;8;1
VS_2;32;1;5;7;0;5;7;0
VS_2;33;1;9;3;1;9;3;1
VS_2;34;0;8;6;0;1;6;0
VS_2;35;1;7;2;5;7;2;5
VS_2;36;0;4;1;3;4;1;4
VS_2;37;0;7;2;7;5;2;7
VS_2;38;1;1;1;9;1;1;9
VS_2;39;1;5;5;4;5;5;4
VS_2;40;1;2;0;6;2;0;6
