###Block;Trial;Gleich;Stim1_1;Stim1_2;Stim1_3;Stim2_1;Stim2_2;Stim2_3
VZ_2;999;1;5;7;4;5;7;4
VZ_2;999;0;7;1;2;3;1;2
VZ_2;1;0;9;4;8;6;4;8
VZ_2;2;1;8;8;9;8;8;9
VZ_2;3;1;2;9;9;2;9;9
VZ_2;4;1;5;5;5;5;5;5
VZ_2;5;1;6;3;6;6;3;6
VZ_2;6;0;3;6;3;3;8;3
VZ_2;7;0;4;2;1;4;2;9
VZ_2;8;1;1;5;0;1;5;0
VZ_2;9;0;5;6;7;5;6;1
VZ_2;10;1;7;9;8;7;9;8
VZ_2;11;1;2;1;2;2;1;2
VZ_2;12;0;6;4;4;6;5;4
VZ_2;13;1;4;3;6;4;3;6
VZ_2;14;0;9;7;0;4;7;0
VZ_2;15;1;1;8;1;1;8;1
VZ_2;16;1;3;0;3;3;0;3
VZ_2;17;0;8;7;5;8;7;6
VZ_2;18;1;9;0;4;9;0;4
VZ_2;19;0;8;6;2;9;6;2
VZ_2;20;0;7;9;9;7;4;9
VZ_2;21;1;6;3;8;6;3;8
VZ_2;22;1;2;2;7;2;2;7
VZ_2;23;1;1;5;6;1;5;6
VZ_2;24;0;3;8;2;3;7;2
VZ_2;25;0;5;4;0;5;4;5
VZ_2;26;1;4;1;5;4;1;5
VZ_2;27;0;1;9;8;1;9;0
VZ_2;28;1;8;6;4;8;6;4
VZ_2;29;0;4;7;1;8;7;1
VZ_2;30;1;6;4;7;6;4;7
VZ_2;31;0;5;8;9;9;8;9
VZ_2;32;0;7;2;3;7;7;3
VZ_2;33;1;3;3;5;3;3;5
VZ_2;34;0;9;5;3;9;1;3
VZ_2;35;0;2;1;8;2;1;5
VZ_2;36;1;9;0;6;9;0;6
VZ_2;37;1;3;6;9;3;6;9
VZ_2;38;1;1;1;7;1;1;7
VZ_2;39;0;4;2;0;4;2;1
VZ_2;40;0;8;4;2;6;4;2
